质量_A,,,
t,x,y,rad
16.16,24.06283363,-30.43970189,-0.669013131
16.2,27.28530251,-27.72037172,-0.777589606
16.24,26.35128096,-26.69913483,-0.778942201
16.28,24.65791942,-29.07864719,-0.703407537
16.32,29.31585752,-23.64463508,-0.892191335
16.36,29.40310709,-23.90638381,-0.888259885
16.4,28.00711388,-25.47687618,-0.832779203
16.44,26.34937194,-27.39636685,-0.766019419
16.48,22.11611365,-31.28324663,-0.615463976
16.52,18.90224143,-33.73651115,-0.510775543
16.56,14.82921096,-35.85736176,-0.392192912
16.6,8.897996801,-37.55686135,-0.232661497
16.64,2.621985054,-38.22681657,-0.06849182
16.68,-3.981142714,-37.9076553,0.104652114
16.72,-9.575545923,-36.68723272,0.255342162
16.76,-14.91025782,-34.83287337,0.404504753
16.8,-18.80688369,-32.64607103,0.522716424
16.84,-22.44851033,-30.41943034,0.635837297
16.88,-26.85703917,-26.87112732,0.785237754
16.92,-28.2959464,-25.34839093,0.840398177
16.96,-28.80325813,-24.75636006,0.860925233
17,-28.55173024,-25.01684541,0.851401044
17.04,-27.61967003,-26.20557952,0.811769244
17.08,-25.59072463,-28.25897348,0.735984141
17.12,-20.24500322,-31.62370314,0.569517873
17.16,-18.38310394,-33.30761434,0.504380699
17.2,-10.8436138,-36.02990908,0.292376533
17.24,-7.441436639,-37.20644629,0.197424964
17.28,-0.672917826,-38.05311598,0.017684096
17.32,5.256712172,-37.63475569,-0.138797194
17.36,11.26952183,-36.5264055,-0.299303547
17.4,16.35388751,-34.67165115,-0.440792307
17.44,20.59157226,-32.29271867,-0.567720521
17.48,24.23447791,-29.93256328,-0.680677185
17.52,26.7760357,-27.89475013,-0.765037456
17.56,28.13081042,-26.45222672,-0.816247142
17.6,28.72332196,-25.86534295,-0.837813832
17.64,28.45729958,-26.19237348,-0.826926125
17.68,28.55761508,-26.0377825,-0.831627919
17.72,25.0839154,-28.91638,-0.714638434
17.76,24.30193649,-30.42367773,-0.674086221
17.8,20.93067683,-33.14433638,-0.56333347
17.84,15.34207084,-35.51750844,-0.407802188
17.88,9.237382482,-37.20919684,-0.243367526
17.92,3.215468384,-37.97989646,-0.084471917
17.96,-3.219192893,-37.89974383,0.084747294
18,-8.813956584,-36.85055591,0.23480098
18.04,-13.99028295,-35.17172781,0.378632182
18.08,-18.80781929,-33.15888004,0.516021855
18.12,-22.19739733,-31.28154977,0.617220126
18.16,-24.73819848,-29.42746053,0.699131515
18.2,-26.34498125,-28.21259195,0.751277001
18.24,-27.10859322,-27.63706045,0.775845912
