t,x,y,rad
9.76,-3.630289603,-37.55495635,-0.096379137
9.8,3.077441538,-37.58514306,0.08170755
9.84,10.53879894,-36.7765806,0.279120121
9.88,14.59883081,-34.28870566,0.402568154
9.92,21.12310934,-31.33534412,0.593207012
9.96,24.58144511,-28.57606577,0.710484378
10,27.35489521,-26.06656992,0.8096147
10.04,29.01158103,-24.05568982,0.878630836
10.08,29.88851017,-22.78857987,0.919492121
10.12,30.07182667,-22.53366032,0.927845758
10.16,29.54246223,-23.29403654,0.90322819
10.2,28.65073365,-25.07170432,0.85203108
10.24,25.87822028,-27.57812108,0.753706794
10.28,23.0194448,-30.17419405,0.651781237
10.32,18.36173997,-33.16157648,0.505749072
10.36,12.51429222,-35.96057447,0.3349357
10.4,5.824169338,-37.82958699,0.15277844
10.44,-0.909129544,-37.94153709,-0.023959848
10.48,-7.79962245,-36.9712903,-0.207942546
10.52,-14.16163407,-35.15227749,-0.383023708
10.56,-18.75187125,-32.9793693,-0.517073705
10.6,-23.45500836,-30.04290777,-0.662957863
10.64,-26.30999633,-27.52044236,-0.763014599
10.68,-28.49021171,-25.4332181,-0.842138105
10.72,-29.74641017,-24.05025071,-0.891003767
10.76,-30.0809381,-23.69897107,-0.903631178
10.8,-29.74739592,-24.22482979,-0.887480719
10.84,-28.24423959,-25.7845621,-0.830999788
10.88,-25.80787427,-28.04472621,-0.743981917
10.92,-22.44279536,-30.66509985,-0.631876988
10.96,-17.88771306,-33.55063178,-0.489882589
11,-11.53846196,-36.24927364,-0.308208022
11.04,-6.155227279,-37.42398623,-0.163034471
11.08,0.611657906,-38.13160149,0.016041413
11.12,7.306039725,-37.3642041,0.193124441
11.16,12.68249589,-36.13002104,0.337630337
11.2,17.98922199,-33.22768825,0.496275114
11.24,22.55876955,-30.3599558,0.639116958
11.28,25.1038237,-27.99246228,0.731142754
11.32,27.61410009,-25.90478703,0.817431788
11.36,28.91501573,-24.6428066,0.86510994
11.4,29.1809129,-24.14469633,0.879675649
11.44,28.99968382,-24.57052563,0.86800257
11.48,27.95524643,-25.82427441,0.825108645
11.52,25.44708676,-27.91389248,0.739298255
11.56,23.01754071,-30.25851746,0.650395956
11.6,18.70730318,-32.9123594,0.516925195
11.64,12.94676207,-35.62539758,0.34861964
11.68,7.545569446,-37.236519,0.199957651
11.72,0.911460852,-37.84208515,0.024084371
11.76,-6.058721832,-37.52392054,-0.160102098
11.8,-11.19258858,-35.88608218,-0.302370235
11.84,-16.61137098,-33.74285068,-0.45752238
11.88,-20.83251485,-31.28011208,-0.587616224
11.92,-24.03482942,-29.00852114,-0.691994696
11.96,-26.3025936,-27.08900588,-0.770770017
12,-27.64256358,-25.70348399,-0.821837792
12.04,-28.05990746,-25.10581333,-0.841014009
12.08,-27.63943612,-25.45371955,-0.826649679
12.12,-26.38445371,-26.75622345,-0.778503253
12.16,-24.28532576,-28.75350942,-0.701443927
12.2,-21.17287254,-31.19240301,-0.596421309
12.24,-17.4656687,-33.73013939,-0.477852681
12.28,-11.7874505,-35.79032751,-0.318200168
12.32,-6.642897815,-37.21897429,-0.176644592
12.36,-0.666914982,-38.20753372,-0.017455556
12.4,5.725949457,-37.82787255,0.150247573
12.44,11.48079792,-36.54024677,0.304468669
12.48,16.11104321,-33.88265316,0.443909951
12.52,20.97696485,-30.92184413,0.596149867
12.56,24.40078082,-29.17122192,0.696675456
12.6,26.22336471,-27.41819488,0.763226458
12.64,27.60948528,-26.15194404,0.812608156
12.68,28.12222841,-25.6499375,0.831450751
12.72,27.86121194,-25.90610916,0.821850987
12.76,26.65708888,-26.9993243,0.779120983
12.8,24.83626363,-28.67305312,0.71391002
12.84,22.15211933,-30.92218669,0.621717251
12.88,18.18834042,-33.3328353,0.499568559
12.92,12.77306509,-35.79377942,0.342809992
12.96,7.545569008,-37.23329161,0.199974514
13,1.310423052,-37.81400051,0.03464507
13.04,-4.909903581,-37.44401311,-0.13039956
13.08,-10.51556518,-36.23908539,-0.282452622
13.12,-15.76737427,-34.27158232,-0.431253565
13.16,-19.39847316,-32.16301896,-0.54278797
13.2,-22.68730345,-30.05560498,-0.646678126
13.24,-24.87361503,-28.31137088,-0.720943712
13.28,-26.21880767,-27.09564243,-0.769052875
13.32,-26.72136238,-26.57916921,-0.788168102
13.36,-26.38554536,-26.92266784,-0.775423242
13.4,-25.20815029,-27.96453979,-0.7337012
13.44,-22.93708992,-29.70861454,-0.657561339
13.48,-19.73529048,-31.81517309,-0.555292076
13.52,-16.44585025,-34.0033521,-0.450543749
13.56,-11.61789227,-35.95615254,-0.312564546
13.6,-6.356264049,-37.33272043,-0.168664582
13.64,-0.567786081,-37.95158741,-0.014961623
13.68,5.834582934,-37.55018239,0.154168276
13.72,11.2237699,-36.62122766,0.297432053
13.76,14.84426036,-34.37954597,0.407648741
13.8,20.42616364,-32.08831957,0.56694298
13.84,23.36217397,-30.09146925,0.660252259
13.88,25.34950707,-28.42439833,0.728372948
13.92,26.56096103,-27.33470922,0.771142718
13.96,27.08367163,-26.83541806,0.790104751
14,26.74005892,-27.17171897,0.777492347
14.04,25.60928237,-28.17348459,0.737852875
14.08,23.79558185,-29.58992569,0.677371434
14.12,20.94670316,-31.58783056,0.585623101
14.16,16.72816606,-33.89681446,0.458495634
14.2,11.66023743,-36.0314281,0.313017447
14.24,6.52323434,-37.22003414,0.173521759
14.28,0.713537498,-37.70480575,0.018924507
14.32,-5.247538105,-37.264399,-0.139917318
14.36,-10.6776874,-35.81077625,-0.289814323
14.4,-15.59027658,-33.84853901,-0.43168102
14.44,-19.98527931,-31.552646,-0.564686413
14.48,-23.18927483,-29.4515499,-0.667078788
14.52,-25.545074,-27.62079125,-0.746472467
14.56,-27.06101508,-26.56818987,-0.794690426
14.6,-27.64945189,-26.13082356,-0.813733804
14.64,-27.3159277,-26.48157642,-0.801009875
14.68,-26.05727192,-27.61432348,-0.756493655
14.72,-24.0418771,-29.43728773,-0.684939094
14.76,-20.84090902,-31.71063006,-0.581510522
14.8,-16.87228505,-33.99767815,-0.460724963
14.84,-10.85642963,-36.31802779,-0.290509525
14.88,-5.422074462,-37.52339644,-0.14352382
14.92,0.539633442,-37.96914672,0.014213305
14.96,6.176334001,-37.55192007,0.163036159
15,11.30729671,-36.62026945,0.299523351
15.04,14.84290099,-34.46388135,0.406724451
15.08,19.99817447,-32.16639481,0.556302211
15.12,22.75570084,-30.33263653,0.643715862
15.16,24.49582646,-28.8320372,0.704355686
15.2,25.61133854,-27.9190808,0.742410235
15.24,25.88272057,-27.58527945,0.753664052
15.28,25.4388404,-27.91754295,0.739071761
15.32,24.23579682,-28.82335022,0.699242181
15.36,22.33436873,-30.33334064,0.634756095
15.4,19.40085903,-32.24401753,0.541730455
15.44,15.10100178,-34.38575072,0.413860349
15.48,10.97493307,-36.18893867,0.294490082
15.52,5.498208724,-37.28638454,0.146422812
15.56,-0.392356635,-37.69146415,-0.010410668
15.6,-5.92926197,-37.25118216,-0.157866114
15.64,-11.02359975,-36.05851733,-0.296729344
15.68,-15.76940864,-34.27262806,-0.431290973
15.72,-18.98087608,-32.67569751,-0.526315225
15.76,-22.10584252,-30.9207555,-0.620749324
15.8,-24.04504164,-29.60684956,-0.682190857
15.84,-25.22254775,-28.73328306,-0.720516329
15.88,-25.56046024,-28.47590239,-0.731591934
15.92,-25.0569489,-28.99305628,-0.712795458
15.96,-23.71162011,-30.12664669,-0.666890105
16,-21.43850684,-31.7855968,-0.593464042
16.04,-18.1490276,-33.8013718,-0.492818518
16.08,-14.59429345,-35.39901801,-0.391097929
16.12,-9.592055358,-37.02356778,-0.253538722
16.16,-3.723032121,-37.97279984,-0.097745021
16.2,1.818221949,-38.07347858,0.047725537
16.24,7.371951506,-37.40104715,0.194636062
16.28,11.48683581,-36.19489336,0.307346797
16.32,15.27665216,-34.04489532,0.421844311
16.36,20.00358755,-31.99552632,0.558815222
16.4,22.50807056,-30.16680418,0.641096707
16.44,24.06784946,-28.74785039,0.697109335
16.48,24.76153571,-28.07285063,0.72290027
16.52,24.85209326,-27.90900027,0.727618538
16.56,24.25350733,-28.38760229,0.707117113
16.6,23.11549811,-29.3986831,0.666403247
16.64,20.95907143,-30.98752185,0.594768268
16.68,17.85432913,-32.88936281,0.497409637
16.72,13.64008352,-34.95680602,0.372076352
